,order_date,vendas,holt,holt_winters_add,holt_winters_mul,"SARIMAX(0,1,0)x(2,0,1,7)",LSTM
127,2016-05-08,11680,11792.123399614726,11859.288374186019,12393.513111227152,,
128,2016-05-09,10869,11821.347048746858,13905.718638766846,14939.58054186147,,
129,2016-05-10,10270,10924.753177760556,13455.335985594538,13641.435134984915,,
130,2016-05-11,9931,10262.52977842349,9859.351416537045,10026.593501452842,,
131,2016-05-12,7081,9890.654350104545,7501.115503061498,7560.1209451661825,,
132,2016-05-13,6741,6788.128016014166,7281.153225307484,7275.039868171492,,
133,2016-05-14,12033,6429.871773481388,10806.365976028197,10889.009937760555,,
134,2016-05-15,11790,12221.92878012197,10665.512429990074,10796.089227450002,,
135,2016-05-16,10790,11968.378323198958,12170.280153679601,12692.05753441711,,
136,2016-05-17,9740,6442.494105711802,6504.3127561810325,6800.3634650684335,2984.7408568699175,10482.035103350878
137,2016-05-18,9155,6261.4912095566515,9530.539136283234,9146.194814353903,-727.0187613795906,9750.236727833748
138,2016-05-19,6913,6080.488313401502,8712.114580192267,8566.98582283307,-269.59156865655075,7208.575688779354
139,2016-05-20,7354,5899.485417246351,8486.87231635406,8223.006571179838,-160.0338449437986,6460.415479242802
140,2016-05-21,9945,5718.482521091201,8553.192350133451,8808.873985296053,-393.9877296734147,10388.487971246243
141,2016-05-22,9367,5537.479624936051,8149.207692694202,8233.717405155618,-1883.1841634168636,11148.60475307703
142,2016-05-23,9041,5356.476728780901,6070.969273830451,6182.572379506776,239.35064890101694,10702.853971004486
143,2016-05-24,9067,5175.47383262575,6252.916719622575,6539.459639252906,2984.4929459100476,10447.808489590883
144,2016-05-25,8690,4994.4709364706005,9279.143099724777,8793.356586116948,-726.9583755948206,9731.061608612537
145,2016-05-26,6962,4813.46804031545,8460.71854363381,8234.660613696198,-269.56917652679357,7176.483169794083
146,2016-05-27,6184,4632.4651441603,8235.476279795603,7902.247264112521,-160.0205526192672,6277.062712460756
147,2016-05-28,9825,4451.462248005149,8301.796313574994,8463.33591495631,-393.9550052658617,10074.808654606342
148,2016-05-29,9144,4270.45935185,7897.811656135745,7908.920428162146,-1883.0277471596564,11023.162115693092
149,2016-05-30,9223,4089.4564556948494,5819.573237271994,5937.305143168534,239.33076856568465,10662.197305887938
150,2016-05-31,6819,3908.453559539699,6001.520683064118,6278.555813437379,2984.2450555415276,10418.94928726554
151,2016-06-01,9141,3727.450663384549,9027.74706316632,8440.518357879992,-726.8979948256612,9726.311242341995
152,2016-06-02,9344,3546.447767229399,8209.322507075352,7902.335404559327,-269.54678625691463,7175.559365034103
153,2016-06-03,10171,3365.4448710742486,7984.080243237144,7581.487957045205,-160.00726139878904,6259.114190876484
154,2016-06-04,12786,3184.4419749190984,8050.400277016537,8117.797844616563,-393.92228357638027,9982.083074063063
155,2016-06-05,11424,3003.439078763948,7646.4156195772875,7584.123451168673,-1882.871343894299,10981.162936598063
156,2016-06-06,11114,2822.436182608798,5568.177200713537,5692.037906830292,239.31088988160224,10650.5708527565
157,2016-06-07,11046,2641.4332864536477,5750.124646505661,6017.651987621851,2983.9971857626474,10406.919110298157
158,2016-06-08,10448,2460.4303902984975,8776.351026607863,8087.680129643036,-726.8376190716957,9725.53156170249
159,2016-06-09,7494,2279.4274941433478,7957.926470516895,7570.010195422456,-269.52439784675937,7177.196738451719
160,2016-06-10,9148,2098.424597988197,7732.684206678688,7260.728649977888,-159.99397128227247,6256.665403068066
161,2016-06-11,12690,1917.4217018330473,7799.004240458079,7772.2597742768185,-393.8895646047446,9951.686988532543
162,2016-06-12,10760,1736.4188056778967,7395.0195830188295,7259.3264741752,-1882.7149536197119,10967.024668902159
163,2016-06-13,10230,1555.415909522747,5316.78116415508,5446.77067049205,239.29101284863256,10647.116281330585
164,2016-06-14,11629,1374.4130133675962,5498.728609947204,5756.748161806322,2983.749336571697,10402.651361495256
165,2016-06-15,10208,1193.4101172124465,8524.954990049406,7734.84190140608,-726.7772483325077,9725.822013676167
166,2016-06-16,7373,1012.4072210572958,7706.530433958438,7237.684986285584,-269.5020112961733,7178.308301240206
167,2016-06-17,6374,831.4043249021461,7481.2881701202305,6939.969342910573,-159.9806822696258,6256.225317642093
168,2016-06-18,10665,650.4014287469963,7547.608203899622,7426.7217039370735,-393.856848350729,9941.46343165636
169,2016-06-19,10807,469.39853259184565,7143.623546460372,6934.5294971817275,-1882.5585763348165,10962.320581018925
170,2016-06-20,10702,288.3956364366959,5065.385127596623,5201.5034341538085,239.2711374666385,10646.095953077078
171,2016-06-21,9691,107.39274028154523,5247.332573388747,5495.844335990794,2983.501507966966,10401.345870226622
172,2016-06-22,8930,-73.61015587360453,8273.558953490949,7382.003673169123,-726.7168826076806,9726.325786978006
173,2016-06-23,6752,-254.6130520287552,7455.134397399981,6905.359777148713,-269.47962660500195,7178.944298505783
174,2016-06-24,7161,-435.61594818390495,7229.892133561773,6619.210035843256,-159.96739436075728,6256.196889489889
175,2016-06-25,9885,-616.6188443390556,7296.212167341165,7081.183633597329,-393.8241348141078,9938.052053391933
176,2016-06-26,9562,-797.6217404942054,6892.227509901915,6609.732520188255,-1882.402212038534,10960.811464846134
177,2016-06-27,9005,-978.624636649356,4813.9890910381655,4956.236197815566,239.2512637354829,10645.846049785614
178,2016-06-28,10008,-1159.6275328045058,4995.93653683029,5234.940510175267,2983.253699946745,10401.03602540493
179,2016-06-29,8492,-1340.6304289596565,8022.1629169324915,7029.165444932167,-726.656521896798,9726.785485625267
180,2016-06-30,6111,-1521.6333251148062,7203.738360841524,6573.034568011841,-269.457243773091,7179.327307254076
